#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
289.900000    164.000000 8.000000 1.000000    49411145.704542 37978.141486 0.100000
290.900000    164.000000 8.000000 1.000000    49411145.704620 37822.685152 0.100000
291.900000    164.000000 8.000000 1.000000    49411145.704692 37627.537497 0.100000
292.900000    164.000000 8.000000 1.000000    49411145.704759 37517.053265 0.100000
293.900000    164.000000 8.000000 1.000000    49411145.704822 37350.369774 0.100000
294.900000    164.000000 8.000000 1.000000    49411145.704881 37204.730472 0.100000
295.900000    165.000000 8.000000 1.000000    49411145.704935 37120.084646 0.100000
296.900000    165.000000 8.000000 1.000000    49411145.704987 37095.668144 0.100000
297.900000    165.000000 8.000000 1.000000    49411145.705035 37119.618048 0.100000
298.900000    165.000000 8.000000 1.000000    49411145.705079 37013.487962 0.100000
299.900000    165.000000 8.000000 1.000000    49411145.705120 36932.988743 0.100000
300.900000    165.000000 8.000000 1.000000    49411145.705159 36985.563854 0.100000
301.900000    166.000000 8.000000 1.000000    49411145.705195 36985.926487 0.100000
302.900000    166.000000 8.000000 1.000000    49411145.705228 37102.024827 0.100000
303.900000    167.000000 8.000000 1.000000    49411145.705260 37071.349407 0.100000
304.900000    167.000000 8.000000 1.000000    49411145.705289 37215.954257 0.100000
305.900000    168.000000 8.000000 1.000000    49411145.705316 37456.073372 0.100000
306.900000    168.000000 8.000000 1.000000    49411145.705342 37588.770856 0.100000
307.900000    169.000000 8.000000 1.000000    49411145.705365 37639.238632 0.100000
308.900000    169.000000 8.000000 1.000000    49411145.705388 37679.121298 0.100000
309.900000    169.000000 8.000000 1.000000    49411145.705408 37594.897941 0.100000
310.900000    170.000000 8.000000 1.000000    49411145.705427 37591.170715 0.100000
311.900000    170.000000 8.000000 1.000000    49411145.705445 37515.313687 0.100000
312.900000    171.000000 8.000000 1.000000    49411145.705462 37556.768546 0.100000
313.900000    171.000000 8.000000 1.000000    49411145.705478 37473.845653 0.100000
314.900000    171.000000 8.000000 1.000000    49411145.705492 37413.601983 0.100000
315.900000    172.000000 8.000000 1.000000    49411145.705506 37305.859170 0.100000
316.900000    172.000000 8.000000 1.000000    49411145.705518 37458.557765 0.100000
317.900000    172.000000 8.000000 1.000000    49411145.705530 37484.533395 0.100000
318.900000    173.000000 8.000000 1.000000    49411145.705541 37403.552928 0.100000
319.900000    173.000000 8.000000 1.000000    49411145.705552 37254.327228 0.100000
320.900000    174.000000 8.000000 1.000000    49411145.705561 37314.409291 0.100000
321.900000    174.000000 8.000000 1.000000    49411145.705570 37417.333047 0.100000
322.900000    176.000000 8.000000 1.000000    49411145.705579 37589.271988 0.100000
323.900000    177.000000 8.000000 1.000000    49411145.705586 37775.782310 0.100000
324.900000    177.000000 8.000000 1.000000    49411145.705594 37840.459007 0.100000
325.900000    177.000000 8.000000 1.000000    49411145.705600 37824.192044 0.100000
326.900000    177.000000 8.000000 1.000000    49411145.705607 37770.327178 0.100000
327.900000    177.000000 8.000000 1.000000    49411145.705613 37826.564146 0.100000
328.900000    177.000000 8.000000 1.000000    49411145.705618 37766.242202 0.100000
329.900000    177.000000 8.000000 1.000000    49411145.705623 37730.399855 0.100000
330.900000    178.000000 8.000000 1.000000    49411145.705628 37823.256116 0.100000
331.900000    178.000000 8.000000 1.000000    49411145.705632 37870.053317 0.100000
332.900000    179.000000 8.000000 1.000000    49411145.705636 37808.236707 0.100000
333.900000    181.000000 8.000000 1.000000    49411145.705640 37837.168844 0.100000
334.900000    182.000000 8.000000 1.000000    49411145.705644 37812.702983 0.100000
335.900000    182.000000 8.000000 1.000000    49411145.705647 37796.354461 0.100000
336.900000    184.000000 8.000000 1.000000    49411145.705650 37860.173819 0.100000
337.900000    184.000000 8.000000 1.000000    49411145.705653 37745.436933 0.100000
338.900000    184.000000 8.000000 1.000000    49411145.705656 37838.718319 0.100000
339.900000    184.000000 8.000000 1.000000    49411145.705659 37721.415364 0.100000
340.900000    185.000000 8.000000 1.000000    49411145.705661 37853.823895 0.100000
341.900000    186.000000 8.000000 1.000000    49411145.705663 37788.464779 0.100000
342.900000    186.000000 8.000000 1.000000    49411145.705665 37726.143427 0.100000
343.900000    187.000000 8.000000 1.000000    49411145.705667 37580.726810 0.100000
344.900000    187.000000 8.000000 1.000000    49411145.705669 37510.217829 0.100000
345.900000    187.000000 8.000000 1.000000    49411145.705671 37600.959771 0.100000
346.900000    187.000000 8.000000 1.000000    49411145.705672 37811.627229 0.100000
347.900000    188.000000 8.000000 1.000000    49411145.705674 37882.687055 0.100000
348.900000    188.000000 8.000000 1.000000    49411145.705675 37911.285241 0.100000
349.900000    189.000000 8.000000 1.000000    49411145.705677 37930.223821 0.100000
350.900000    189.000000 8.000000 1.000000    49411145.705678 37917.567006 0.100000
351.900000    189.000000 8.000000 1.000000    49411145.705679 38037.353973 0.100000
352.900000    190.000000 8.000000 1.000000    49411145.705680 37963.514950 0.100000
353.900000    190.000000 8.000000 1.000000    49411145.705681 37957.248643 0.100000
354.900000    191.000000 8.000000 1.000000    49411145.705682 37966.121205 0.100000
355.900000    191.000000 8.000000 1.000000    49411145.705683 38065.719395 0.100000
356.900000    191.000000 8.000000 1.000000    49411145.705683 38256.106121 0.100000
357.900000    192.000000 8.000000 1.000000    49411145.705684 38265.542215 0.100000
358.900000    192.000000 8.000000 1.000000    49411145.705685 38258.018703 0.100000
359.900000    192.000000 8.000000 1.000000    49411145.705685 38336.204791 0.100000
360.900000    192.000000 8.000000 1.000000    49411145.705686 38410.793567 0.100000
361.900000    192.000000 8.000000 1.000000    49411145.705686 38378.838189 0.100000
362.900000    192.000000 8.000000 1.000000    49411145.705687 38265.191262 0.100000
363.900000    192.000000 8.000000 1.000000    49411145.705687 38267.545313 0.100000
