#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
253.900000    156.000000 7.000000 1.000000    49411145.691506 38774.601547 0.100000
254.900000    156.000000 7.000000 1.000000    49411145.692464 38269.253198 0.100000
255.900000    156.000000 7.000000 1.000000    49411145.693356 37681.834503 0.100000
256.900000    156.000000 7.000000 1.000000    49411145.694187 37405.577159 0.100000
257.900000    156.000000 7.000000 1.000000    49411145.694964 37153.794338 0.100000
258.900000    156.000000 7.000000 1.000000    49411145.695687 36981.063791 0.100000
259.900000    156.000000 7.000000 1.000000    49411145.696362 36687.963372 0.100000
260.900000    156.000000 7.000000 1.000000    49411145.696991 36257.487466 0.100000
261.900000    157.000000 7.000000 1.000000    49411145.697577 35932.563079 0.100000
262.900000    157.000000 7.000000 1.000000    49411145.698125 35731.774688 0.100000
263.900000    158.000000 7.000000 1.000000    49411145.698635 35529.620258 0.100000
264.900000    159.000000 7.000000 1.000000    49411145.699110 35406.342768 0.100000
265.900000    159.000000 7.000000 1.000000    49411145.699554 35211.885088 0.100000
266.900000    159.000000 7.000000 1.000000    49411145.699968 35079.722941 0.100000
267.900000    159.000000 7.000000 1.000000    49411145.700354 34867.345114 0.100000
268.900000    160.000000 7.000000 1.000000    49411145.700714 34812.928302 0.100000
269.900000    161.000000 7.000000 1.000000    49411145.701049 34769.633969 0.100000
270.900000    161.000000 7.000000 1.000000    49411145.701362 34784.089034 0.100000
271.900000    161.000000 7.000000 1.000000    49411145.701654 34946.882235 0.100000
272.900000    162.000000 7.000000 1.000000    49411145.701926 35046.932590 0.100000
273.900000    162.000000 7.000000 1.000000    49411145.702180 35067.965646 0.100000
274.900000    162.000000 7.000000 1.000000    49411145.702416 35137.161551 0.100000
275.900000    162.000000 7.000000 1.000000    49411145.702637 35087.482755 0.100000
276.900000    162.000000 7.000000 1.000000    49411145.702843 35129.949684 0.100000
277.900000    162.000000 7.000000 1.000000    49411145.703035 34978.265314 0.100000
278.900000    162.000000 7.000000 1.000000    49411145.703214 35093.079373 0.100000
279.900000    162.000000 7.000000 1.000000    49411145.703381 35095.604799 0.100000
280.900000    162.000000 7.000000 1.000000    49411145.703537 35199.399918 0.100000
281.900000    162.000000 7.000000 1.000000    49411145.703682 35033.143758 0.100000
282.900000    162.000000 7.000000 1.000000    49411145.703818 34914.063078 0.100000
283.900000    162.000000 7.000000 1.000000    49411145.703944 34861.621062 0.100000
284.900000    162.000000 7.000000 1.000000    49411145.704062 34972.741174 0.100000
285.900000    162.000000 7.000000 1.000000    49411145.704172 35098.614625 0.100000
286.900000    162.000000 7.000000 1.000000    49411145.704274 35200.473016 0.100000
287.900000    162.000000 7.000000 1.000000    49411145.704370 35150.341169 0.100000
288.900000    162.000000 7.000000 1.000000    49411145.704459 35074.754485 0.100000
289.900000    162.000000 7.000000 1.000000    49411145.704542 34862.921459 0.100000
290.900000    162.000000 7.000000 1.000000    49411145.704620 34756.676500 0.100000
291.900000    162.000000 7.000000 1.000000    49411145.704692 34706.702095 0.100000
292.900000    163.000000 7.000000 1.000000    49411145.704759 34751.306406 0.100000
293.900000    163.000000 7.000000 1.000000    49411145.704822 34829.020271 0.100000
294.900000    163.000000 7.000000 1.000000    49411145.704881 34907.654114 0.100000
295.900000    164.000000 7.000000 1.000000    49411145.704935 34920.066074 0.100000
296.900000    164.000000 7.000000 1.000000    49411145.704987 34780.739796 0.100000
297.900000    164.000000 7.000000 1.000000    49411145.705035 34718.310703 0.100000
298.900000    164.000000 7.000000 1.000000    49411145.705079 34560.845494 0.100000
299.900000    163.000000 7.000000 1.000000    49411145.705120 34404.342431 0.100000
300.900000    164.000000 7.000000 1.000000    49411145.705159 34219.595872 0.100000
301.900000    164.000000 7.000000 1.000000    49411145.705195 34074.759629 0.100000
302.900000    165.000000 7.000000 1.000000    49411145.705228 33985.814916 0.100000
303.900000    167.000000 7.000000 1.000000    49411145.705260 33956.706531 0.100000
304.900000    168.000000 7.000000 1.000000    49411145.705289 34121.930276 0.100000
305.900000    168.000000 7.000000 1.000000    49411145.705316 34259.875784 0.100000
306.900000    168.000000 7.000000 1.000000    49411145.705342 34260.370255 0.100000
307.900000    168.000000 7.000000 1.000000    49411145.705365 34076.492966 0.100000
308.900000    168.000000 7.000000 1.000000    49411145.705388 34001.344610 0.100000
309.900000    168.000000 7.000000 1.000000    49411145.705408 33813.666975 0.100000
310.900000    168.000000 7.000000 1.000000    49411145.705427 33651.230277 0.100000
311.900000    169.000000 7.000000 1.000000    49411145.705445 33545.933504 0.100000
312.900000    169.000000 7.000000 1.000000    49411145.705462 33444.801199 0.100000
313.900000    169.000000 7.000000 1.000000    49411145.705478 33332.432774 0.100000
314.900000    169.000000 7.000000 1.000000    49411145.705492 33154.407966 0.100000
315.900000    171.000000 7.000000 1.000000    49411145.705506 33090.596715 0.100000
316.900000    171.000000 7.000000 1.000000    49411145.705518 33057.877544 0.100000
317.900000    171.000000 7.000000 1.000000    49411145.705530 33190.903125 0.100000
318.900000    171.000000 7.000000 1.000000    49411145.705541 33325.485008 0.100000
319.900000    171.000000 7.000000 1.000000    49411145.705552 33407.031523 0.100000
320.900000    171.000000 7.000000 1.000000    49411145.705561 33571.668460 0.100000
321.900000    171.000000 7.000000 1.000000    49411145.705570 33658.056087 0.100000
322.900000    172.000000 7.000000 1.000000    49411145.705579 33530.084177 0.100000
323.900000    173.000000 7.000000 1.000000    49411145.705586 33441.208908 0.100000
324.900000    173.000000 7.000000 1.000000    49411145.705594 33333.342114 0.100000
325.900000    174.000000 7.000000 1.000000    49411145.705600 33397.199488 0.100000
326.900000    174.000000 7.000000 1.000000    49411145.705607 33313.643871 0.100000
327.900000    174.000000 7.000000 1.000000    49411145.705613 33303.183445 0.100000
328.900000    174.000000 7.000000 1.000000    49411145.705618 33423.189819 0.100000
329.900000    174.000000 7.000000 1.000000    49411145.705623 33550.969431 0.100000
330.900000    175.000000 7.000000 1.000000    49411145.705628 33529.281194 0.100000
331.900000    175.000000 7.000000 1.000000    49411145.705632 33515.130561 0.100000
332.900000    176.000000 7.000000 1.000000    49411145.705636 33662.205272 0.100000
333.900000    177.000000 7.000000 1.000000    49411145.705640 33743.294753 0.100000
334.900000    177.000000 7.000000 1.000000    49411145.705644 33920.362346 0.100000
335.900000    178.000000 7.000000 1.000000    49411145.705647 33920.263522 0.100000
336.900000    180.000000 7.000000 1.000000    49411145.705650 33953.468970 0.100000
337.900000    181.000000 7.000000 1.000000    49411145.705653 33911.614082 0.100000
338.900000    182.000000 7.000000 1.000000    49411145.705656 33831.491317 0.100000
339.900000    183.000000 7.000000 1.000000    49411145.705659 33835.049726 0.100000
